annual_mean_temp_c,annual_total_precip_mm,NDVI,NDSI,PET_mean,soil_moisture_mean,lc_cropland_pct,lc_grassland_pct,lc_barren_pct,farm_income_usd,agri_employment_share,crop_water_intensity_m3_per_usd,population_rural_thousand,rural_share,ag_production_share,grain_production_kt,water_governance_index,water_tariff_index,wua_coverage,sdg_642_water_stress_pct,water_use_efficiency_usd_m3,uz_env_code_2021,country_code,country,province,year
-0.010056328150651838,-0.0038255980281073736,0.0008538232607209617,0.001059879249146819,-0.004086296867862698,0.0006754697957108681,-0.010845977474129236,-0.013387248276323802,-0.0004800192111091233,-0.006308197879434986,-0.009008212038388233,-0.023908247806347323,-0.01773832605885655,-0.001506011836742196,-0.0009538112773511141,-0.011446113929407632,-0.03309991691013193,-0.009348363431276763,-0.03133371906149999,-0.014857822439499752,-0.0028837067180474693,0.0004152514976117363,-0.006785292685770633,Kyrgyzstan,Batken,2016
-0.010523408914823437,-0.00508337050663803,4.505951324936273e-05,-0.0002932440959858728,-0.0037916041700923513,0.0006382553485071973,-0.010339893168395547,-0.01360946985748479,-0.0005246683897169522,-0.007707172795783401,-0.021157588170236833,-0.024430282635246676,-0.018218476878302338,-0.0014509946219714593,-0.0010011811062437877,-0.011696500099171357,-0.03641122615566991,-0.01012767100193727,-0.03102704664967857,-0.01445829319487257,-0.0029928558984747768,0.0005462849385949493,-0.006713510655418617,Kyrgyzstan,Batken,2017
-0.011770007566900545,-0.004912686049402358,0.00019853505603390547,-0.0009270963829393024,-0.0038740507481053997,-0.00036454842257277025,-0.010415538042545946,-0.01383706874097066,-0.0005339089478341149,-0.007911757398589956,-0.021522905351304234,-0.025130734337245473,-0.01848279342208023,-0.0014737208893351049,-0.0011000872154681759,-0.012008681798106968,-0.038558834475853704,-0.010825023630246745,-0.03170233590757661,-0.014702403831757263,-0.0034919933100462557,0.0005468891978970909,-0.006894828733227959,Kyrgyzstan,Batken,2018
-0.012281232986828048,-0.005333706854571239,-0.0012013793331550533,-0.0014832753000850259,-0.0038770859603400746,-0.0003201687802559786,-0.010656838896752579,-0.01363333471286739,-0.0004988856873627692,-0.006732835195961314,-0.021794469880351552,-0.02526365417401424,-0.01837076588535799,-0.0015180847013917006,-0.0010670287869828648,-0.012271281837081994,-0.03831345500055286,-0.011623692625471206,-0.03148600272072444,-0.014341574988102984,-0.0027174554495216947,0.0005414489476244655,-0.006772787761770581,Kyrgyzstan,Batken,2019
-0.0102088956987013,0.0031249836743008873,-0.0014475361930306515,-0.0010984308289621776,-0.0036852166645006956,-0.00023334647487106426,-0.009986630379827596,-0.012847085243256628,-0.0004869194073267098,-0.006936142457246281,-0.020881412381716938,-0.022526580749295404,-0.016315172409946618,-0.001460397268167173,-0.0011104883828230684,-0.011219587917683918,-0.0353949706304331,-0.00786809657795802,-0.026775046587134678,-0.013981901083655166,-0.002604384152967885,0.000540613315158837,-0.006056391734868567,Kyrgyzstan,Batken,2020
-0.007952861398846895,0.004056786728963173,-0.00020573731068733488,-0.0010031687754000994,-0.00362305996230127,0.0008256934581265071,-0.009390464130446521,-0.011441482890017302,-0.00037141025572007833,-0.006048576429824956,-0.020017513015271795,-0.013045324577668051,-0.013972033612837437,-0.0012873281974132684,-0.0010147979231924617,-0.009610322969668997,-0.025555605901123983,0.002065065343332816,-0.025434050457797223,-0.012487639515674116,-0.0017244982600666283,0.0004707196975739206,-0.005520005777586083,Kyrgyzstan,Batken,2021
-0.007833498657800487,0.0040208963459074,-3.78308800882959e-05,-0.0003053915934301902,-0.0027347067243966095,2.033589927007116e-05,-0.009254909429940443,-0.011065651339850501,-0.00034131312188522494,-0.003581809659425697,-0.018514999361547598,-0.012027929954608102,-0.013426447873797273,-0.0011832428854501894,-0.0010033804169705934,-0.009098106556670775,-0.02411148102985668,0.0021983352464786886,-0.02442984688588349,-0.012164462297291881,0.004045181808360108,0.0004864680542423733,-0.005226204327166539,Kyrgyzstan,Batken,2022
-0.008513251554533027,0.004074629243234098,7.14423254459895e-05,-2.846560030568131e-05,-0.0029399357870905636,0.0007271487658776853,-0.009217031251090187,-0.011049806193945029,-0.0003679557355367542,-0.0033786079228649807,-0.018812602021727676,-0.011836764504663918,-0.01307077790002318,-0.0012063801692338031,-0.000980569994347675,-0.009464394149500475,-0.023742798711841612,0.002692629735044434,-0.024427983993493975,-0.012274214330212817,0.003894011100722985,0.00048210946350715593,-0.005358008660627339,Kyrgyzstan,Batken,2023
-0.006516982907787778,0.0027585197559769335,2.0720937291436845e-05,0.00031169329963133096,-0.0023057236488802403,0.0007939992511779079,-0.008988034472196696,-0.010575886100451147,-0.000413270984247577,-0.0028013347676003617,-0.01839007959478139,-0.01183707630153654,-0.01287672550518875,-0.0011656051506245561,-0.0009291203584337853,-0.009359977745476308,-0.02328899894086719,0.0013563469990642816,-0.024574039538446803,-0.012160591973413513,0.004317730955469971,0.0004865814442903177,-0.005039409873248508,Kyrgyzstan,Batken,2024
-0.009634747924000398,-0.004116013737408823,-0.0012490708708712325,0.00039215093578330546,-0.003859791306626193,-0.0008664017235049345,-0.010104267476540085,-0.011950857422134014,-0.0010011475653862896,-0.0007520009784618057,-0.009273857611827916,-0.023204289472928175,-0.016579484350666484,-0.0010761048347178376,0.0005067435300801299,-0.011829419605650449,-0.031960945567146695,-0.00910857761072221,-0.03094398800299655,-0.014081795160287267,-0.0023639078614085024,0.00045556823853753835,-0.0066118244087143875,Kyrgyzstan,Jalal-Abad,2016
-0.010151235738236224,-0.005113101170294592,-0.001535489142233704,0.00010460642230322689,-0.0030391548072361088,-0.0009062478710971942,-0.009413329676542827,-0.012191965207911284,-0.00100723309175864,-0.004746937703658735,-0.020301604644492002,-0.02354629829878766,-0.01690539304154537,-0.0010315554271723222,0.0005516519420151502,-0.012586328070473633,-0.03516321576917268,-0.010013387269914225,-0.030218833073932062,-0.013708608911120796,-0.0025718907497368237,0.0005629183513741401,-0.006408135713794129,Kyrgyzstan,Jalal-Abad,2017
-0.011189830407386012,-0.004932019394817274,0.00044479143490664736,0.000840353192275885,-0.0030487014426578657,-0.0009826433952519933,-0.009355443279883776,-0.012381739189248134,-0.0008888134934254062,-0.007104361437154499,-0.020779493037936036,-0.02413028665845199,-0.016876752937403247,-0.0010228302007983996,4.645377940615337e-05,-0.012464182252891073,-0.0376800138261049,-0.010743823241094814,-0.031041643973596912,-0.01378500250244428,-0.003143032029498368,0.0005789281949122137,-0.006762503130052331,Kyrgyzstan,Jalal-Abad,2018
-0.012004720104898742,-0.005533035649481653,-0.001180380351733913,-0.0012744215395173518,-0.00291899290045704,-0.0010631724637543939,-0.009598955053925407,-0.01233474589108536,-0.0008687288259448081,-0.007809388533819499,-0.02126534342691362,-0.02446953466587698,-0.016495400717756313,-0.0010633155055867728,-9.869975381755395e-06,-0.011651790182785062,-0.038287418831277835,-0.011338373792713257,-0.030764495850268064,-0.013607975157480622,-0.002392321634588182,0.0005498085538463501,-0.006745266446442634,Kyrgyzstan,Jalal-Abad,2019
-0.009597176245919745,0.0030874379031206513,-0.0011143556223890273,-0.0010180018851550017,-0.002608189065968076,-0.0009455830355609087,-0.009074416434129803,-0.011572551810458118,-0.0008879918171000583,-0.006588428346866813,-0.02009679296136553,-0.02162118058976724,-0.013354093502531144,-0.0009063042750345603,5.294665315509536e-05,-0.01173537955520378,-0.034196123584751555,-0.007391501935246874,-0.026018639019249227,-0.012951004179613297,-0.001954020417917242,0.0005505002375170217,-0.006087377071750083,Kyrgyzstan,Jalal-Abad,2020
-0.007407812355721935,0.003763436793966479,-0.0013803239071253832,-0.0009793539989875,-0.0028003512515985024,-6.897168882791555e-05,-0.008744510254714661,-0.010674221704341524,-0.0010150491032482457,-0.0039122439063214685,-0.019158096339509018,-0.012952542255420814,-0.011539757282027946,-0.00041495246897619697,0.0012305821169944116,-0.00907239790552119,-0.02459512892785007,0.0017025788425671987,-0.024199986487879303,-0.011695362376907565,-0.0009019963120229261,0.00045907343075650523,-0.005157655010225038,Kyrgyzstan,Jalal-Abad,2021
-0.007179974649422699,0.004044287605646356,-0.0003135379706273577,-0.00029669823147581846,-0.0020726118631827924,-0.0008218892479611409,-0.00851076595070035,-0.01031299496794235,-0.0009472857122567703,-0.0060484938805128625,-0.01836009252004893,-0.012239999990712345,-0.009844334458030094,-0.00041887764104978314,0.00028707082251150525,-0.009349798662406362,-0.02425644814214583,0.0019344903369994204,-0.023974057261143156,-0.011271005634254998,0.003995934643337889,0.0005398190160633426,-0.0053499460446988145,Kyrgyzstan,Jalal-Abad,2022
-0.008312332551592883,0.004093261808645185,-0.00016165645877742418,9.367746738285783e-05,-0.0025266747972878516,-0.0005758769747886498,-0.008495939567097394,-0.009996101195976367,-0.0009481466669147516,-0.005400578313574635,-0.018252852536567655,-0.01188633651178584,-0.008451236988471562,-0.0004181122660954074,0.0002442927865692582,-0.00878384398790159,-0.023688787597799674,0.002056875016508122,-0.02393818586768084,-0.011251253384559146,0.004050739223700674,0.0005465573380280031,-0.005277408247285579,Kyrgyzstan,Jalal-Abad,2023
